nohup: 忽略输入
mode: train
batch: 512
city_t: 40
steps: 13000
embed: 128
hidden: 128
clip_logits: 10
softmax_T: 1.0
optim: Adam
init_min: -0.08
init_max: 0.08
n_glimpse: 1
n_process: 3
decode_type: sampling
lr: 0.001
is_lr_decay: True
lr_decay: 0.96
lr_decay_step: 5000.0
act_model_path: Pt/train20_1113_12_12_step14999_act.pt
seed: 1
alpha: 0.99
islogger: True
issaver: True
log_step: 10
log_dir: ./Csv/
model_dir: ./Pt/
pkl_dir: ./Pkl/
cuda_dv: 0
dump_date: 0522_11_07
task: train40
pkl_path: ./Pkl/train40.pkl
n_samples: 6656000

generate ./Csv/0522_11_19_train40_param.csv
step:2750/13000, actic loss:-15.376, critic loss:4.775, L:11.174, 0min2sec
step:2760/13000, actic loss:-15.321, critic loss:4.758, L:11.155, 0min2sec
step:2770/13000, actic loss:-15.267, critic loss:4.742, L:11.136, 0min2sec
step:2780/13000, actic loss:-15.213, critic loss:4.725, L:11.118, 0min2sec
step:2790/13000, actic loss:-15.158, critic loss:4.709, L:11.100, 0min2sec
step:2800/13000, actic loss:-15.106, critic loss:4.693, L:11.082, 0min2sec
step:2810/13000, actic loss:-15.052, critic loss:4.677, L:11.064, 0min2sec
step:2820/13000, actic loss:-14.999, critic loss:4.661, L:11.046, 0min2sec
step:2830/13000, actic loss:-14.947, critic loss:4.645, L:11.028, 0min2sec
step:2840/13000, actic loss:-14.895, critic loss:4.630, L:11.011, 0min2sec
step:2850/13000, actic loss:-14.843, critic loss:4.614, L:10.994, 0min2sec
step:2860/13000, actic loss:-14.791, critic loss:4.599, L:10.976, 0min2sec
step:2870/13000, actic loss:-14.741, critic loss:4.583, L:10.959, 0min2sec
step:2880/13000, actic loss:-14.690, critic loss:4.568, L:10.942, 0min2sec
step:2890/13000, actic loss:-14.640, critic loss:4.553, L:10.925, 0min2sec
step:2900/13000, actic loss:-14.590, critic loss:4.538, L:10.908, 0min2sec
step:2910/13000, actic loss:-14.541, critic loss:4.524, L:10.892, 0min2sec
step:2920/13000, actic loss:-14.491, critic loss:4.509, L:10.876, 0min2sec
step:2930/13000, actic loss:-14.442, critic loss:4.494, L:10.859, 0min2sec
step:2940/13000, actic loss:-14.393, critic loss:4.479, L:10.843, 0min2sec
step:2950/13000, actic loss:-14.345, critic loss:4.465, L:10.826, 0min2sec
step:2960/13000, actic loss:-14.297, critic loss:4.450, L:10.810, 0min2sec
step:2970/13000, actic loss:-14.249, critic loss:4.436, L:10.794, 0min2sec
step:2980/13000, actic loss:-14.202, critic loss:4.422, L:10.778, 0min2sec
step:2990/13000, actic loss:-14.155, critic loss:4.408, L:10.762, 0min2sec
